No,KoreanName,EnglishName,KCD,VCode,Support,PrimarySpecialty,RelatedSpecialties,AllSpecialties,Confidence,Reason
1413,(무한성) 외배엽형성이상,Ectodermal dysplasia (anhidrotic),Q82.4,V900,의료비(급여부분),피부과,이비인후과; 정형외과,피부과; 이비인후과; 정형외과,중,"피부과: 외배엽, ectoderm | 이비인후과: ot | 정형외과: dysplasia"
1412,(승모판 협착 또는 폐쇄와 함께) 상행대동맥의 형성저하와 좌심실의 결손발육을 동반하는 대동맥구멍 및 판막의 폐쇄 또는 현저한 발육부전,"Atresia, or marked hypoplasia of aortic orifice or valve, with hypoplasia of ascending aorta and defective development of left ventricle (with mitral valve stenosis or atresia)",Q23.4,V147,의료비(급여부분),심장내과/소아심장과,소아청소년과/의학유전학; 호흡기내과,소아청소년과/의학유전학; 심장내과/소아심장과; 호흡기내과,중,"소아청소년과/의학유전학: 결손 | 심장내과/소아심장과: 심실, 대동맥, 판막, 승모판 | 호흡기내과: 폐"
1411,"(외)이도의 선천성 결여, 폐쇄, 협착","Congenital absence, atresia and stricture of auditory canal(external)",Q16.1,V291,의료비(급여부분),호흡기내과,소아청소년과/의학유전학; 이비인후과,소아청소년과/의학유전학; 호흡기내과; 이비인후과,중,"소아청소년과/의학유전학: 선천성, congenital | 호흡기내과: 폐 | 이비인후과: 이도, auditory"
1410,(이상형태성) 태아알코올증후군,Fetal alcohol syndrome (dysmorphic),Q86.0,V157,의료비(급여부분),이비인후과,소아청소년과/의학유전학,소아청소년과/의학유전학; 이비인후과,중상,"소아청소년과/의학유전학: 증후군, 태아, syndrome, fetal | 이비인후과: 코"
1409,(하)(상)대정맥의 선천성 협착,Congenital stenosis of vena cava (inferior)(superior),Q26.0,V150,의료비(급여부분),심장내과/소아심장과,소아청소년과/의학유전학,소아청소년과/의학유전학; 심장내과/소아심장과,중상,"소아청소년과/의학유전학: 선천성, congenital | 심장내과/소아심장과: 정맥, ven"
1408,(혈청검사음성인) 연소성 다발관절염,Juvenile polyarthritis (seronegative),M08.3,V133,의료비(급여부분),안과,심장내과/소아심장과; 류마티스내과/면역내과; 정형외과,안과; 심장내과/소아심장과; 류마티스내과/면역내과; 정형외과,중,"안과: uve | 심장내과/소아심장과: ven | 류마티스내과/면역내과: 관절염, arthrit | 정형외과: 관절"
1407,10단완 11-12 결손 증후군,10p11-12 deletion syndrome,없음,V901,의료비(급여부분),소아청소년과/의학유전학,,소아청소년과/의학유전학,하,"소아청소년과/의학유전학: 증후군, 결손, syndrome, deletion"
1406,10번 염색체 단완의 결손 증후군,10p deletion syndrome,없음,V901,의료비(급여부분),소아청소년과/의학유전학,,소아청소년과/의학유전학,하,"소아청소년과/의학유전학: 증후군, 결손, 염색체, syndrome"
1405,10번 염색체 단완의 삼염색체증,Trisomy 10p,Q92.2,V900,의료비(급여부분),소아청소년과/의학유전학,,소아청소년과/의학유전학,하,"소아청소년과/의학유전학: 삼염색체, 염색체, trisomy"
1404,10번 염색체 장완 말단부의 단일염색체증,Distal monosomy 10q,없음,V901,의료비(급여부분),소아청소년과/의학유전학,,소아청소년과/의학유전학,하,"소아청소년과/의학유전학: 단일염색체, 염색체, monosomy"
1403,10번 염색체 장완의 22-23 부분의 미세결손 증후군,10q22q23 microdeletion syndrome,없음,V901,의료비(급여부분),소아청소년과/의학유전학,,소아청소년과/의학유전학,하,"소아청소년과/의학유전학: 증후군, 결손, 미세결손, 염색체"
1402,10번 염색체 장완의 결손 증후군,10q deletion syndrome,없음,V901,의료비(급여부분),소아청소년과/의학유전학,,소아청소년과/의학유전학,하,"소아청소년과/의학유전학: 증후군, 결손, 염색체, syndrome"
1401,10번 염색체 장완의 중복 증후군,10q duplication syndrome,없음,V901,의료비(급여부분),소아청소년과/의학유전학,,소아청소년과/의학유전학,하,"소아청소년과/의학유전학: 증후군, 중복, 염색체, syndrome"
1400,10장완 말단 삼염색체 증후군,Distal 10q trisomy syndrome,없음,V900,의료비(급여부분),소아청소년과/의학유전학,,소아청소년과/의학유전학,하,"소아청소년과/의학유전학: 증후군, 삼염색체, 염색체, syndrome"
1399,11번 염색체 장완의 중복 증후군,11q duplication syndrome,없음,V901,의료비(급여부분),소아청소년과/의학유전학,,소아청소년과/의학유전학,하,"소아청소년과/의학유전학: 증후군, 중복, 염색체, syndrome"
