id,korean_name,english_name,kcd,vcode,support,primary_specialty,all_specialties,classification_source,status,orpha_code,orpha_name
1413,(무한성) 외배엽형성이상,Ectodermal dysplasia (anhidrotic),Q82.4,V900,의료비(급여부분),미분류,[],,미분류,,
1412,(승모판 협착 또는 폐쇄와 함께) 상행대동맥의 형성저하와 좌심실의 결손발육을 동반하는 대동맥구멍 및 판막의 폐쇄 또는 현저한 발육부전,"Atresia, or marked hypoplasia of aortic orifice or valve, with hypoplasia of ascending aorta and defective development of left ventricle (with mitral valve stenosis or atresia)",Q23.4,V147,의료비(급여부분),심장내과/소아심장과,"[""심장내과/소아심장과""]",manual_primary_whitelist:승모판,분류완료,,
1411,"(외)이도의 선천성 결여, 폐쇄, 협착","Congenital absence, atresia and stricture of auditory canal(external)",Q16.1,V291,의료비(급여부분),미분류,[],,미분류,,
1410,(이상형태성) 태아알코올증후군,Fetal alcohol syndrome (dysmorphic),Q86.0,V157,의료비(급여부분),미분류,[],,미분류,,
1409,(하)(상)대정맥의 선천성 협착,Congenital stenosis of vena cava (inferior)(superior),Q26.0,V150,의료비(급여부분),미분류,[],,미분류,,
1408,(혈청검사음성인) 연소성 다발관절염,Juvenile polyarthritis (seronegative),M08.3,V133,의료비(급여부분),미분류,[],,미분류,,
1407,10단완 11-12 결손 증후군,10p11-12 deletion syndrome,없음,V901,의료비(급여부분),미분류,[],,미분류,,
1406,10번 염색체 단완의 결손 증후군,10p deletion syndrome,없음,V901,의료비(급여부분),소아청소년과/의학유전학,"[""소아청소년과/의학유전학""]",,미분류,,
1405,10번 염색체 단완의 삼염색체증,Trisomy 10p,Q92.2,V900,의료비(급여부분),미분류,[],,미분류,,
1404,10번 염색체 장완 말단부의 단일염색체증,Distal monosomy 10q,없음,V901,의료비(급여부분),미분류,[],,미분류,96148,Distal deletion 10q syndrome
1403,10번 염색체 장완의 22-23 부분의 미세결손 증후군,10q22q23 microdeletion syndrome,없음,V901,의료비(급여부분),미분류,[],,미분류,,
1402,10번 염색체 장완의 결손 증후군,10q deletion syndrome,없음,V901,의료비(급여부분),미분류,[],,미분류,,
1401,10번 염색체 장완의 중복 증후군,10q duplication syndrome,없음,V901,의료비(급여부분),미분류,[],,미분류,,
1400,10장완 말단 삼염색체 증후군,Distal 10q trisomy syndrome,없음,V900,의료비(급여부분),미분류,[],,미분류,,
1399,11번 염색체 장완의 중복 증후군,11q duplication syndrome,없음,V901,의료비(급여부분),미분류,[],,미분류,,
1398,11장완 말단부 삼염색체 증후군,11q distal trisomy syndrome,Q92.3,V900,의료비(급여부분),미분류,[],,미분류,,
1397,12번 염색체 단완 13 부분의 미세중복,12p13 microduplication,없음,V901,의료비(급여부분),미분류,[],,미분류,,
1396,12번 염색체 단완의 중복 증후군,12p duplication syndrome,없음,V901,의료비(급여부분),미분류,[],,미분류,,
1395,12번 염색체 장완 13 부분의 미세중복,12q13 microduplication,없음,V901,의료비(급여부분),미분류,[],,미분류,,
1394,12번 염색체 장완의 결손 증후군,12q deletion syndrome,없음,V901,의료비(급여부분),미분류,[],,미분류,,
1393,12번 염색체 장완의 중복 증후군,12q duplication syndrome,없음,V901,의료비(급여부분),미분류,[],,미분류,,
1392,13번 염색체 장완 12.3 부분의 미세결손 증후군,13q12.3 microdeletion syndrome,없음,V901,의료비(급여부분),신경과,"[""신경과"", ""피부과""]",en_product3_181.xml; en_product3_187.xml,리뷰필요,412035,13q12.3 microdeletion syndrome
1391,13번 염색체 장완 21-22 부분의 결손,13q21-22 deletion,없음,V901,의료비(급여부분),미분류,[],,미분류,,
1390,13번 염색체 장완의 말단부 단일염색체증,Distal monosomy 13q,없음,V901,의료비(급여부분),소아청소년과/의학유전학,"[""소아청소년과/의학유전학""]",en_product3_189.xml,분류완료,1590,Distal deletion 13q syndrome
1389,13번 염색체 장완의 부분 결손,Partial deletion of the long arm of chromosome 13,없음,V901,의료비(급여부분),미분류,[],,미분류,,
1388,"13삼염색체증, 감수분열비분리","Trisomy 13, meiotic nondisjunction",Q91.4,V160,의료비(급여부분),미분류,[],,미분류,,
1387,"13삼염색체증, 섞임증형(유사분열비분리)","Trisomy 13, mosaicism (mitotic nondisjunction)",Q91.5,V160,의료비(급여부분),미분류,[],,미분류,,
1386,"13삼염색체증, 전위","Trisomy 13, translocation",Q91.6,V160,의료비(급여부분),미분류,[],,미분류,,
1385,13삼염색체증후군,Trisomy 13 Syndrome,Q91.7,V160,의료비(급여부분),소아청소년과/의학유전학,"[""소아청소년과/의학유전학"", ""신장내과""]",en_product3_188.xml; en_product3_189.xml,리뷰필요,3378,Trisomy 13 syndrome
1384,14번 염색체 장완 24.2-31.1 부분의 미세결손,14q24.2q31.1 microdeletion,없음,V901,의료비(급여부분),미분류,[],,미분류,,
1383,14번 염색체 장완 말단부의 단일염색체증,Distal monosomy 14q,없음,V901,의료비(급여부분),미분류,[],,미분류,96150,Distal deletion 14q syndrome
1382,14번 염색체 장완의 결손 증후군,14q deletion syndrome,없음,V901,의료비(급여부분),미분류,[],,미분류,,
1381,14번 염색체 장완의 중복 증후군,14q duplication syndrome,없음,V901,의료비(급여부분),미분류,[],,미분류,,
1380,15 장완13.3 미세결손 증후군,15q13.3 microdeletion syndrome,Q93.5,V900,의료비(급여부분),신경과,"[""신경과""]",en_product3_181.xml,분류완료,199318,15q13.3 microdeletion syndrome
1379,15번 고리모양 염색체,Ring chromosome 15,없음,V901,의료비(급여부분),미분류,[],,미분류,96177,Ring chromosome 15 syndrome
1378,15번 염색체 장완 11-13 부분의 미세중복 증후군,15q11q13 microduplication syndrome,Q92.3,V900,의료비(급여부분),미분류,[],,미분류,238446,15q11q13 microduplication syndrome
1377,15번 염색체 장완의 결손 증후군,15q deletion syndrome,없음,V901,의료비(급여부분),미분류,[],,미분류,,
1376,15번 염색체 장완의 중복 증후군,15q duplication syndrome,없음,V901,의료비(급여부분),미분류,[],,미분류,,
1375,15장완 사염색체(증)(쌍중심절 15번 염색체 증후군),Tetrasomy 15q (isodicentric 15 chromosome syndrome),Q93.2,V900,의료비(급여부분),미분류,[],,미분류,,
1374,15장완11.2 미세결손 증후군,15q11.2 microdeletion syndrome,없음,V900,의료비(급여부분),미분류,[],,미분류,261183,15q11.2 microdeletion syndrome
1373,16단완11.2 미세중복,16p 11.2 microduplication,없음,V901,의료비(급여부분),미분류,[],,미분류,,
1372,16번 염색체 단완의 11-12 부분의 미세결손 증후군,16p11p12 microdeletion syndrome,없음,V901,의료비(급여부분),미분류,[],,미분류,,
1371,16번 염색체 단완의 결손,Deletion of short arm of chromosome 16,없음,V901,의료비(급여부분),미분류,[],,미분류,,
1370,16번 염색체 단완의 결손 증후군,16p deletion syndrome,없음,V901,의료비(급여부분),미분류,[],,미분류,,
1369,16번 염색체 단완의 중복 증후군,16p duplication syndrome,없음,V901,의료비(급여부분),미분류,[],,미분류,,
1368,16번 염색체 장완의 결손 증후군,16q deletion syndrome,없음,V901,의료비(급여부분),미분류,[],,미분류,,
1367,16번 염색체 장완의 중복,16q duplication,없음,V901,의료비(급여부분),미분류,[],,미분류,,
1366,17단완13.3 미세중복,17p 13.3 microduplication,없음,V901,의료비(급여부분),미분류,[],,미분류,,
1365,17번 염색체 단완 13.1 부분의 미세결손 증후군,Distal 17p13.1 microdeletion syndrome,없음,V901,의료비(급여부분),신경과,"[""신경과""]",en_product3_181.xml,분류완료,319171,Distal 17p13.1 microdeletion syndrome
1364,17번 염색체 단완 13.3 부분의 미세결손 증후군,Distal 17p13.3 microdeletion syndrome,없음,V901,의료비(급여부분),미분류,[],,미분류,261257,Distal 17p13.3 microdeletion syndrome
1363,17번 염색체 단완의 결손 증후군,17p deletion syndrome,없음,V901,의료비(급여부분),미분류,[],,미분류,,
